Count,Hash,Compared Hash,Last Release,Next Release,Author's Name,Author's Date,Author's Date Short,Subject,Commit Message,Merge Commit,Merge Conflict,Files Changed,Insertions,Deletions,Sample Files,Sample Modified,Sample Added,Sample Deleted
0,27fef9c7385f5964853862adcd6373ce873bea18,697fd66aae9beed107e13f49a741455f1d9d8dd9,0.0.0,rxjava-0.1.2-0-g74da07692,"Ben Christensen","2013-01-08T12:11:48-08:00","2013-01-08","Initial commit","Initial commit
",0,0,35 ,2 ,933 ,"template-client/src/main/java/com/netflix/template/client/TalkClient.java template-client/src/main/java/com/netflix/template/common/Conversation.java template-client/src/main/java/com/netflix/template/common/Sentence.java template-server/src/main/java/com/netflix/template/server/TalkServer.java ","template-client/src/main/java/com/netflix/template/client/TalkClient.java template-client/src/main/java/com/netflix/template/common/Conversation.java template-client/src/main/java/com/netflix/template/common/Sentence.java template-server/src/main/java/com/netflix/template/server/TalkServer.java ","","template-client/src/main/java/com/netflix/template/client/TalkClient.java template-client/src/main/java/com/netflix/template/common/Conversation.java template-client/src/main/java/com/netflix/template/common/Sentence.java template-server/src/main/java/com/netflix/template/server/TalkServer.java "
1,87cfa7a445f7659ef46d1a6a4eb38daa46f5c97a,27fef9c7385f5964853862adcd6373ce873bea18,0.0.0,rxjava-0.1.2-0-g74da07692,"Ben Christensen","2013-01-08T22:21:43-08:00","2013-01-08","Initial commit","Initial commit
",0,0,59 ,10802 ,0,"rxjava-core/src/main/java/org/rx/functions/Func0.java rxjava-core/src/main/java/org/rx/functions/Func1.java rxjava-core/src/main/java/org/rx/functions/Func2.java rxjava-core/src/main/java/org/rx/functions/Func3.java rxjava-core/src/main/java/org/rx/functions/Func4.java rxjava-core/src/main/java/org/rx/functions/FuncN.java rxjava-core/src/main/java/org/rx/functions/Functions.java rxjava-core/src/main/java/org/rx/operations/AtomicWatchableSubscription.java rxjava-core/src/main/java/org/rx/operations/AtomicWatcher.java rxjava-core/src/main/java/org/rx/operations/AtomicWatcherMultiThreaded.java rxjava-core/src/main/java/org/rx/operations/AtomicWatcherSingleThreaded.java rxjava-core/src/main/java/org/rx/operations/OperationCombineLatest.java rxjava-core/src/main/java/org/rx/operations/OperationFilter.java rxjava-core/src/main/java/org/rx/operations/OperationLast.java rxjava-core/src/main/java/org/rx/operations/OperationMap.java ","rxjava-core/src/main/java/org/rx/functions/Func0.java rxjava-core/src/main/java/org/rx/functions/Func1.java rxjava-core/src/main/java/org/rx/functions/Func2.java rxjava-core/src/main/java/org/rx/functions/Func3.java rxjava-core/src/main/java/org/rx/functions/Func4.java rxjava-core/src/main/java/org/rx/functions/FuncN.java rxjava-core/src/main/java/org/rx/functions/Functions.java rxjava-core/src/main/java/org/rx/operations/AtomicWatchableSubscription.java rxjava-core/src/main/java/org/rx/operations/AtomicWatcher.java rxjava-core/src/main/java/org/rx/operations/AtomicWatcherMultiThreaded.java rxjava-core/src/main/java/org/rx/operations/AtomicWatcherSingleThreaded.java rxjava-core/src/main/java/org/rx/operations/OperationCombineLatest.java rxjava-core/src/main/java/org/rx/operations/OperationFilter.java rxjava-core/src/main/java/org/rx/operations/OperationLast.java rxjava-core/src/main/java/org/rx/operations/OperationMap.java ","rxjava-core/src/main/java/org/rx/functions/Func0.java rxjava-core/src/main/java/org/rx/functions/Func1.java rxjava-core/src/main/java/org/rx/functions/Func2.java rxjava-core/src/main/java/org/rx/functions/Func3.java rxjava-core/src/main/java/org/rx/functions/Func4.java rxjava-core/src/main/java/org/rx/functions/FuncN.java rxjava-core/src/main/java/org/rx/functions/Functions.java rxjava-core/src/main/java/org/rx/operations/AtomicWatchableSubscription.java rxjava-core/src/main/java/org/rx/operations/AtomicWatcher.java rxjava-core/src/main/java/org/rx/operations/AtomicWatcherMultiThreaded.java rxjava-core/src/main/java/org/rx/operations/AtomicWatcherSingleThreaded.java rxjava-core/src/main/java/org/rx/operations/OperationCombineLatest.java rxjava-core/src/main/java/org/rx/operations/OperationFilter.java rxjava-core/src/main/java/org/rx/operations/OperationLast.java rxjava-core/src/main/java/org/rx/operations/OperationMap.java ",""
2,d297befc1fa5516148a8324a2ce47b7ce2fcbc09,87cfa7a445f7659ef46d1a6a4eb38daa46f5c97a,0.0.0,rxjava-0.1.2-0-g74da07692,"Ben Christensen","2013-01-10T13:33:34-08:00","2013-01-10","Merge pull request #1 from benjchristensen/api-and-naming","Merge pull request #1 from benjchristensen/api-and-naming

Refactoring conventions",1,0,45 ,4589 ,4650 ,"rxjava-core/src/main/java/org/rx/functions/Func0.java rxjava-core/src/main/java/org/rx/functions/Func1.java rxjava-core/src/main/java/org/rx/functions/Func2.java rxjava-core/src/main/java/org/rx/functions/Func3.java rxjava-core/src/main/java/org/rx/functions/Func4.java rxjava-core/src/main/java/org/rx/operations/AtomicObservableSubscription.java rxjava-core/src/main/java/org/rx/operations/AtomicObserver.java rxjava-core/src/main/java/org/rx/operations/AtomicObserverMultiThreaded.java rxjava-core/src/main/java/org/rx/operations/AtomicObserverSingleThreaded.java rxjava-core/src/main/java/org/rx/operations/OperationCombineLatest.java rxjava-core/src/main/java/org/rx/operations/OperationFilter.java rxjava-core/src/main/java/org/rx/operations/OperationLast.java rxjava-core/src/main/java/org/rx/operations/OperationMap.java rxjava-core/src/main/java/org/rx/operations/OperationMaterialize.java rxjava-core/src/main/java/org/rx/operations/OperationMerge.java ","rxjava-core/src/main/java/org/rx/functions/Func0.java rxjava-core/src/main/java/org/rx/functions/Func1.java rxjava-core/src/main/java/org/rx/functions/Func2.java rxjava-core/src/main/java/org/rx/functions/Func3.java rxjava-core/src/main/java/org/rx/functions/Func4.java rxjava-core/src/main/java/org/rx/operations/AtomicObservableSubscription.java rxjava-core/src/main/java/org/rx/operations/AtomicObserver.java rxjava-core/src/main/java/org/rx/operations/AtomicObserverMultiThreaded.java rxjava-core/src/main/java/org/rx/operations/AtomicObserverSingleThreaded.java rxjava-core/src/main/java/org/rx/operations/OperationCombineLatest.java rxjava-core/src/main/java/org/rx/operations/OperationFilter.java rxjava-core/src/main/java/org/rx/operations/OperationLast.java rxjava-core/src/main/java/org/rx/operations/OperationMap.java rxjava-core/src/main/java/org/rx/operations/OperationMaterialize.java rxjava-core/src/main/java/org/rx/operations/OperationMerge.java ","rxjava-core/src/main/java/org/rx/operations/AtomicObservableSubscription.java rxjava-core/src/main/java/org/rx/operations/AtomicObserver.java rxjava-core/src/main/java/org/rx/operations/AtomicObserverMultiThreaded.java rxjava-core/src/main/java/org/rx/operations/AtomicObserverSingleThreaded.java rxjava-core/src/main/java/org/rx/operations/OperationOnErrorResumeNextViaObservable.java rxjava-core/src/main/java/org/rx/operations/OperationToObservableFunction.java rxjava-core/src/main/java/org/rx/operations/OperationToObservableIterable.java rxjava-core/src/main/java/org/rx/operations/OperationToObservableList.java rxjava-core/src/main/java/org/rx/operations/OperationToObservableSortedList.java rxjava-core/src/main/java/org/rx/reactive/Observable.java rxjava-core/src/main/java/org/rx/reactive/Observer.java rxjava-core/src/main/java/org/rx/reactive/Subscription.java ","rxjava-core/src/main/java/org/rx/operations/OperationOnErrorResumeNextViaWatchable.java rxjava-core/src/main/java/org/rx/operations/OperationToWatchableFunction.java rxjava-core/src/main/java/org/rx/operations/OperationToWatchableIterable.java rxjava-core/src/main/java/org/rx/operations/OperationToWatchableList.java rxjava-core/src/main/java/org/rx/operations/OperationToWatchableSortedList.java rxjava-core/src/main/java/org/rx/operations/WatchableExtensions.java rxjava-core/src/main/java/org/rx/reactive/AbstractIObservable.java rxjava-core/src/main/java/org/rx/reactive/IObservable.java rxjava-core/src/main/java/org/rx/reactive/IObserver.java rxjava-core/src/main/java/org/rx/reactive/None.java "
3,74caddb921dfd99c755198dd1dd049ca9d848d08,d297befc1fa5516148a8324a2ce47b7ce2fcbc09,0.0.0,rxjava-0.1.2-0-g74da07692,"Ben Christensen","2013-01-10T16:26:33-08:00","2013-01-10","Merge pull request #2 from benjchristensen/language-adaptors","Merge pull request #2 from benjchristensen/language-adaptors

Language adaptors",1,0,51 ,1344 ,241 ,"language-adaptors/rxjava-groovy/src/main/java/org/rx/lang/groovy/GroovyAdaptor.java language-adaptors/rxjava-jruby/src/main/java/org/rx/lang/jruby/JRubyAdaptor.java rxjava-core/src/main/java/org/rx/functions/Func0.java rxjava-core/src/main/java/org/rx/functions/Func1.java rxjava-core/src/main/java/org/rx/functions/Func2.java rxjava-core/src/main/java/org/rx/functions/Func3.java rxjava-core/src/main/java/org/rx/functions/Func4.java rxjava-core/src/main/java/org/rx/functions/Func5.java rxjava-core/src/main/java/org/rx/functions/Func6.java rxjava-core/src/main/java/org/rx/functions/Func7.java rxjava-core/src/main/java/org/rx/functions/Func8.java rxjava-core/src/main/java/org/rx/functions/Func9.java rxjava-core/src/main/java/org/rx/functions/FuncN.java rxjava-core/src/main/java/org/rx/functions/FunctionLanguageAdaptor.java rxjava-core/src/main/java/org/rx/functions/Functions.java ","language-adaptors/rxjava-groovy/src/main/java/org/rx/lang/groovy/GroovyAdaptor.java language-adaptors/rxjava-jruby/src/main/java/org/rx/lang/jruby/JRubyAdaptor.java rxjava-core/src/main/java/org/rx/functions/Func0.java rxjava-core/src/main/java/org/rx/functions/Func1.java rxjava-core/src/main/java/org/rx/functions/Func2.java rxjava-core/src/main/java/org/rx/functions/Func3.java rxjava-core/src/main/java/org/rx/functions/Func4.java rxjava-core/src/main/java/org/rx/functions/Func5.java rxjava-core/src/main/java/org/rx/functions/Func6.java rxjava-core/src/main/java/org/rx/functions/Func7.java rxjava-core/src/main/java/org/rx/functions/Func8.java rxjava-core/src/main/java/org/rx/functions/Func9.java rxjava-core/src/main/java/org/rx/functions/FuncN.java rxjava-core/src/main/java/org/rx/functions/FunctionLanguageAdaptor.java rxjava-core/src/main/java/org/rx/functions/Functions.java ","language-adaptors/rxjava-groovy/src/main/java/org/rx/lang/groovy/GroovyAdaptor.java language-adaptors/rxjava-jruby/src/main/java/org/rx/lang/jruby/JRubyAdaptor.java rxjava-core/src/main/java/org/rx/functions/Func5.java rxjava-core/src/main/java/org/rx/functions/Func6.java rxjava-core/src/main/java/org/rx/functions/Func7.java rxjava-core/src/main/java/org/rx/functions/Func8.java rxjava-core/src/main/java/org/rx/functions/Func9.java rxjava-core/src/main/java/org/rx/functions/FunctionLanguageAdaptor.java ",""
4,441b224226b2c0cf23e34857e2b23ad704d8db2d,74caddb921dfd99c755198dd1dd049ca9d848d08,0.0.0,rxjava-0.1.2-0-g74da07692,"Ben Christensen","2013-01-11T11:08:35-08:00","2013-01-11","Merge pull request #3 from benjchristensen/clojure-adaptor","Merge pull request #3 from benjchristensen/clojure-adaptor

Clojure adaptor",1,0,4 ,148 ,10 ,"language-adaptors/rxjava-clojure/src/main/java/org/rx/lang/clojure/ClojureAdaptor.java rxjava-core/src/main/java/org/rx/reactive/Observable.java ","language-adaptors/rxjava-clojure/src/main/java/org/rx/lang/clojure/ClojureAdaptor.java rxjava-core/src/main/java/org/rx/reactive/Observable.java ","language-adaptors/rxjava-clojure/src/main/java/org/rx/lang/clojure/ClojureAdaptor.java ",""
5,f08fb1996fbdfb23ccfb14e916eca6cc3333ef6c,441b224226b2c0cf23e34857e2b23ad704d8db2d,0.0.0,rxjava-0.1.2-0-g74da07692,"Ben Christensen","2013-01-12T11:22:01-08:00","2013-01-12","Merge pull request #4 from benjchristensen/cleanup","Merge pull request #4 from benjchristensen/cleanup

remove 'wrap' functionality",1,0,6 ,119 ,60 ,"rxjava-core/src/main/java/org/rx/reactive/Observable.java ","rxjava-core/src/main/java/org/rx/reactive/Observable.java ","",""
6,b66c0d36b548077c238d11ed7d7ec2df2266d4f8,f08fb1996fbdfb23ccfb14e916eca6cc3333ef6c,0.0.0,rxjava-0.1.2-0-g74da07692,"Ben Christensen","2013-01-12T11:28:34-08:00","2013-01-12","Remove erroneous create method","Remove erroneous create method

It was a method I was playing with during refactoring and accidentally committed.

The real create methods already exist.",0,0,1 ,0,9 ,"rxjava-core/src/main/java/org/rx/reactive/Observable.java ","rxjava-core/src/main/java/org/rx/reactive/Observable.java ","",""
7,d95439f82d7fd100a32af55cec01763522782bf4,b66c0d36b548077c238d11ed7d7ec2df2266d4f8,0.0.0,rxjava-0.1.2-0-g74da07692,"jcacciatore","2013-01-15T13:47:26-08:00","2013-01-15","Merge pull request #5 from benjchristensen/language-adaptor-classes","Merge pull request #5 from benjchristensen/language-adaptor-classes

Support multiple class types for language adaptors",1,0,5 ,29 ,24 ,"language-adaptors/rxjava-clojure/src/main/java/org/rx/lang/clojure/ClojureAdaptor.java language-adaptors/rxjava-groovy/src/main/java/org/rx/lang/groovy/GroovyAdaptor.java language-adaptors/rxjava-jruby/src/main/java/org/rx/lang/jruby/JRubyAdaptor.java rxjava-core/src/main/java/org/rx/functions/FunctionLanguageAdaptor.java rxjava-core/src/main/java/org/rx/functions/Functions.java ","language-adaptors/rxjava-clojure/src/main/java/org/rx/lang/clojure/ClojureAdaptor.java language-adaptors/rxjava-groovy/src/main/java/org/rx/lang/groovy/GroovyAdaptor.java language-adaptors/rxjava-jruby/src/main/java/org/rx/lang/jruby/JRubyAdaptor.java rxjava-core/src/main/java/org/rx/functions/FunctionLanguageAdaptor.java rxjava-core/src/main/java/org/rx/functions/Functions.java ","",""
8,c11126d5484e36df5738719090a87d793e0dfc41,d95439f82d7fd100a32af55cec01763522782bf4,0.0.0,rxjava-0.1.2-0-g74da07692,"Ben Christensen","2013-01-16T12:34:20-08:00","2013-01-16","Merge pull request #6 from benjchristensen/refactoring","Merge pull request #6 from benjchristensen/refactoring

Refactoring",1,0,52 ,573 ,342 ,"language-adaptors/rxjava-clojure/src/main/java/rx/lang/clojure/ClojureAdaptor.java language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/GroovyAdaptor.java language-adaptors/rxjava-jruby/src/main/java/rx/lang/jruby/JRubyAdaptor.java rxjava-core/src/main/java/rx/concurrency/package-info.java rxjava-core/src/main/java/rx/observables/CompositeException.java rxjava-core/src/main/java/rx/observables/Notification.java rxjava-core/src/main/java/rx/observables/Observable.java rxjava-core/src/main/java/rx/observables/Observer.java rxjava-core/src/main/java/rx/observables/Subscription.java rxjava-core/src/main/java/rx/observables/operations/AtomicObservableSubscription.java rxjava-core/src/main/java/rx/observables/operations/AtomicObserver.java rxjava-core/src/main/java/rx/observables/operations/AtomicObserverMultiThreaded.java rxjava-core/src/main/java/rx/observables/operations/AtomicObserverSingleThreaded.java rxjava-core/src/main/java/rx/observables/operations/OperationCombineLatest.java rxjava-core/src/main/java/rx/observables/operations/OperationFilter.java ","language-adaptors/rxjava-clojure/src/main/java/rx/lang/clojure/ClojureAdaptor.java language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/GroovyAdaptor.java language-adaptors/rxjava-jruby/src/main/java/rx/lang/jruby/JRubyAdaptor.java rxjava-core/src/main/java/rx/concurrency/package-info.java rxjava-core/src/main/java/rx/observables/CompositeException.java rxjava-core/src/main/java/rx/observables/Notification.java rxjava-core/src/main/java/rx/observables/Observable.java rxjava-core/src/main/java/rx/observables/Observer.java rxjava-core/src/main/java/rx/observables/Subscription.java rxjava-core/src/main/java/rx/observables/operations/AtomicObservableSubscription.java rxjava-core/src/main/java/rx/observables/operations/AtomicObserver.java rxjava-core/src/main/java/rx/observables/operations/AtomicObserverMultiThreaded.java rxjava-core/src/main/java/rx/observables/operations/AtomicObserverSingleThreaded.java rxjava-core/src/main/java/rx/observables/operations/OperationCombineLatest.java rxjava-core/src/main/java/rx/observables/operations/OperationFilter.java ","language-adaptors/rxjava-clojure/src/main/java/rx/lang/clojure/ClojureAdaptor.java language-adaptors/rxjava-groovy/src/main/java/rx/lang/groovy/GroovyAdaptor.java language-adaptors/rxjava-jruby/src/main/java/rx/lang/jruby/JRubyAdaptor.java rxjava-core/src/main/java/rx/concurrency/package-info.java rxjava-core/src/main/java/rx/observables/CompositeException.java rxjava-core/src/main/java/rx/observables/Notification.java rxjava-core/src/main/java/rx/observables/Observable.java rxjava-core/src/main/java/rx/observables/Observer.java rxjava-core/src/main/java/rx/observables/Subscription.java rxjava-core/src/main/java/rx/observables/operations/AtomicObservableSubscription.java rxjava-core/src/main/java/rx/observables/operations/AtomicObserver.java rxjava-core/src/main/java/rx/observables/operations/AtomicObserverMultiThreaded.java rxjava-core/src/main/java/rx/observables/operations/AtomicObserverSingleThreaded.java rxjava-core/src/main/java/rx/observables/operations/OperationCombineLatest.java rxjava-core/src/main/java/rx/observables/operations/OperationFilter.java ",""
9,48cd6ccfbaab366bf082726d32f24dac2b4a8f91,c11126d5484e36df5738719090a87d793e0dfc41,0.0.0,rxjava-0.1.2-0-g74da07692,"Ben Christensen","2013-01-21T19:12:37-08:00","2013-01-21","Merge pull request #106 from benjchristensen/function-memoization","Merge pull request #106 from benjchristensen/function-memoization

Performance optimizations for dynamic function execution.

https://github.com/Netflix/RxJava/issues/104",1,0,24 ,719 ,147 ,"rxjava-core/src/main/java/rx/observables/Observable.java rxjava-core/src/main/java/rx/observables/operations/AtomicObserver.java rxjava-core/src/main/java/rx/util/Action0.java rxjava-core/src/main/java/rx/util/Action1.java rxjava-core/src/main/java/rx/util/Action2.java rxjava-core/src/main/java/rx/util/Action3.java rxjava-core/src/main/java/rx/util/Func0.java rxjava-core/src/main/java/rx/util/Func1.java rxjava-core/src/main/java/rx/util/Func2.java rxjava-core/src/main/java/rx/util/Func3.java rxjava-core/src/main/java/rx/util/Func4.java rxjava-core/src/main/java/rx/util/Func5.java rxjava-core/src/main/java/rx/util/Func6.java rxjava-core/src/main/java/rx/util/Func7.java rxjava-core/src/main/java/rx/util/Func8.java ","rxjava-core/src/main/java/rx/observables/Observable.java rxjava-core/src/main/java/rx/observables/operations/AtomicObserver.java rxjava-core/src/main/java/rx/util/Action0.java rxjava-core/src/main/java/rx/util/Action1.java rxjava-core/src/main/java/rx/util/Action2.java rxjava-core/src/main/java/rx/util/Action3.java rxjava-core/src/main/java/rx/util/Func0.java rxjava-core/src/main/java/rx/util/Func1.java rxjava-core/src/main/java/rx/util/Func2.java rxjava-core/src/main/java/rx/util/Func3.java rxjava-core/src/main/java/rx/util/Func4.java rxjava-core/src/main/java/rx/util/Func5.java rxjava-core/src/main/java/rx/util/Func6.java rxjava-core/src/main/java/rx/util/Func7.java rxjava-core/src/main/java/rx/util/Func8.java ","rxjava-core/src/main/java/rx/util/Function.java ",""
